Ticker,Date
PYPL,01/29/2021
PYPL,11/02/2020
PYPL,07/29/2020
PYPL,05/06/2020
PYPL,01/29/2020
PYPL,10/23/2019
PYPL,07/24/2019
PYPL,04/24/2019
PYPL,01/30/2019
PYPL,10/18/2018
PYPL,07/25/2018
PYPL,04/25/2018
PYPL,01/31/2018
PYPL,10/19/2017
PYPL,07/26/2017
PYPL,04/26/2017
PYPL,01/26/2017
PYPL,10/20/2016
PYPL,07/21/2016
PYPL,01/27/2016
BABA,02/12/2021
BABA,11/05/2020
BABA,08/20/2020
BABA,05/22/2020
BABA,02/13/2020
BABA,11/01/2019
BABA,08/15/2019
BABA,05/15/2019
BABA,01/30/2019
BABA,11/02/2018
BABA,08/23/2018
BABA,05/04/2018
BABA,02/01/2018
BABA,11/02/2017
BABA,08/17/2017
BABA,05/18/2017
BABA,01/24/2017
BABA,11/02/2016
TSLA,01/29/2021
TSLA,10/21/2020
TSLA,07/22/2020
TSLA,04/29/2020
TSLA,01/29/2020
TSLA,10/23/2019
TSLA,07/24/2019
TSLA,04/24/2019
TSLA,01/30/2019
TSLA,10/24/2018
TSLA,08/01/2018
TSLA,05/02/2018
TSLA,02/07/2018
TSLA,11/01/2017
TSLA,08/02/2017
TSLA,05/03/2017
TSLA,02/22/2017
TSLA,10/26/2016
TSLA,08/03/2016
TSLA,11/03/2015
TSLA,08/05/2015
TSLA,05/06/2015
TSLA,02/11/2015
TSLA,11/05/2014
TSLA,07/31/2014
ADBE,12/09/2020
ADBE,09/15/2020
ADBE,06/11/2020
ADBE,03/12/2020
ADBE,12/12/2019
ADBE,09/17/2019
ADBE,06/18/2019
ADBE,03/14/2019
ADBE,12/13/2018
ADBE,09/13/2018
ADBE,06/14/2018
ADBE,03/15/2018
ADBE,12/14/2017
ADBE,09/19/2017
ADBE,06/20/2017
ADBE,03/16/2017
ADBE,12/15/2016
ADBE,09/20/2016
ADBE,06/21/2016
ADBE,09/17/2015
ADBE,06/16/2015
ADBE,03/17/2015
ADBE,12/11/2014
ADBE,09/16/2014
ADBE,06/17/2014
MA,01/29/2021
MA,10/28/2020
MA,07/30/2020
MA,04/29/2020
MA,01/29/2020
MA,10/29/2019
MA,07/30/2019
MA,04/30/2019
MA,01/31/2019
MA,10/30/2018
MA,07/26/2018
